Monthly data for lake:, mic,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1999,94.82,32.1,10.51,102.09,87.65,96.37,113.35,57.89,63.38,54.42,22.24,111.33
2000,29.43,27.88,35.9,61.82,117.86,89.38,94.56,74.02,127.31,35.62,75.53,50.91
2001,28.96,52.46,22.76,68.23,123.68,89.78,37.2,125.34,109.77,135.54,55.31,46.93
2002,22.63,43.08,58.55,111.31,121.49,116.92,75.58,125.4,55.48,91.48,63.62,26.94
2003,85.94,42.64,47.3,83.67,92.08,48.26,103.78,60.36,78.59,69.71,122.65,35.16
2004,31.21,18.14,80.57,42.24,160.31,78.42,74.64,72.52,17.57,67.22,58.56,51.55
2005,75.58,33.16,40.63,23.07,57.42,52.94,67.78,69.09,119.72,45.41,106.89,49.46
2006,65.98,29.89,45.45,67.2,109.18,41.91,75.63,78.82,63.48,83.84,35.71,41.69
2007,22.8,19.91,70.76,68.3,38.44,87.26,63.89,113.73,43.25,72.34,20.44,48.21
2008,41.09,42.18,27.78,54.82,47.94,84.36,60.96,19.51,92.19,41.59,35.1,58.99
2009,17.99,34.71,44.01,61.77,46.08,61.66,23.77,78.19,23.22,104.04,25.8,31.84
2010,10.76,11.21,11.66,46.49,47.57,93.53,75.59,51.2,58.71,31.54,30.03,21.88
2011,22.28,26.05,33.46,78.24,59.58,53.66,56.17,45.7,49.03,56.46,48.97,31.57
2012,24.21,19.75,40.8,42.62,54.63,43.18,72.79,44.15,51.12,96.38,12.63,45.03
2013,47.72,38.93,29.99,96.32,66.92,65.11,42.53,57.04,37.52,75.05,69.82,26.72
2014,28.97,24.8,31.85,66.31,59.46,90.18,42.3,62.57,54.61,98.45,58.9,24.42
2015,29.62,17.27,20.51,55.86,77.66,63.24,43.01,54.29,71.17,51.99,74.74,84.68
2016,36.43,33.35,71.56,52.37,49.92,72.37,68.18,83.75,77.64,83.2,54.04,57.91
2017,60.2,34.9,67.61,87.85,58.85,100.03,80.62,55.39,31.32,120.65,40.06,28.58
2018,31.87,45.69,18.92,41.09,97.59,88.04,51.59,105.03,79.22,121.05,54.6,42.68
